symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GLD,2004-11-18 00:00:00+00:00,44.38,44.49,44.07,44.43,5992000,44.38,44.49,44.07,44.43,5992000,0.0,1.0
GLD,2004-11-19 00:00:00+00:00,44.78,44.92,44.47,44.49,11655300,44.78,44.92,44.47,44.49,11655300,0.0,1.0
GLD,2004-11-22 00:00:00+00:00,44.95,44.97,44.74,44.75,11996000,44.95,44.97,44.74,44.75,11996000,0.0,1.0
GLD,2004-11-23 00:00:00+00:00,44.75,44.92,44.72,44.88,3169200,44.75,44.92,44.72,44.88,3169200,0.0,1.0
GLD,2004-11-24 00:00:00+00:00,45.05,45.05,44.79,44.93,6105100,45.05,45.05,44.79,44.93,6105100,0.0,1.0
GLD,2004-11-26 00:00:00+00:00,45.29,45.6,45.06,45.25,3097700,45.29,45.6,45.06,45.25,3097700,0.0,1.0
GLD,2004-11-29 00:00:00+00:00,45.4,45.5,45.08,45.1,3759000,45.4,45.5,45.08,45.1,3759000,0.0,1.0
GLD,2004-11-30 00:00:00+00:00,45.12,45.41,44.82,45.37,3859100,45.12,45.41,44.82,45.37,3859100,0.0,1.0
GLD,2004-12-01 00:00:00+00:00,45.38,45.59,45.26,45.28,2037500,45.38,45.59,45.26,45.28,2037500,0.0,1.0
GLD,2004-12-02 00:00:00+00:00,44.95,45.57,44.68,45.55,6457800,44.95,45.57,44.68,45.55,6457800,0.0,1.0
GLD,2004-12-03 00:00:00+00:00,45.6,46.0,44.8,45.04,4218300,45.6,46.0,44.8,45.04,4218300,0.0,1.0
GLD,2004-12-06 00:00:00+00:00,45.17,45.47,45.11,45.39,3103000,45.17,45.47,45.11,45.39,3103000,0.0,1.0
GLD,2004-12-07 00:00:00+00:00,45.11,45.32,45.07,45.3,3809400,45.11,45.32,45.07,45.3,3809400,0.0,1.0
GLD,2004-12-08 00:00:00+00:00,44.01,44.02,43.36,43.8,6150500,44.01,44.02,43.36,43.8,6150500,0.0,1.0
GLD,2004-12-09 00:00:00+00:00,43.78,43.9,43.2,43.75,3553400,43.78,43.9,43.2,43.75,3553400,0.0,1.0
GLD,2004-12-10 00:00:00+00:00,43.44,43.6,43.31,43.37,2464300,43.44,43.6,43.31,43.37,2464300,0.0,1.0
GLD,2004-12-13 00:00:00+00:00,43.91,44.014,43.51,43.61,1445100,43.91,44.014,43.51,43.61,1445100,0.0,1.0
GLD,2004-12-14 00:00:00+00:00,43.55,43.8,43.51,43.76,2240600,43.55,43.8,43.51,43.76,2240600,0.0,1.0
GLD,2004-12-15 00:00:00+00:00,43.99,44.17,43.92,44.1,2641400,43.99,44.17,43.92,44.1,2641400,0.0,1.0
GLD,2004-12-16 00:00:00+00:00,43.68,44.05,43.58,43.99,3269800,43.68,44.05,43.58,43.99,3269800,0.0,1.0
GLD,2004-12-17 00:00:00+00:00,44.19,44.22,43.78,43.93,1889300,44.19,44.22,43.78,43.93,1889300,0.0,1.0
GLD,2004-12-20 00:00:00+00:00,44.34,44.37,44.13,44.33,1942100,44.34,44.37,44.13,44.33,1942100,0.0,1.0
GLD,2004-12-21 00:00:00+00:00,44.22,44.24,44.05,44.13,1373400,44.22,44.24,44.05,44.13,1373400,0.0,1.0
